model,cue,A1,A2,A3
qwen3:30b,cue,signal,prompt,line
qwen3:30b,becoming,changing,growing,developing
qwen3:30b,archeology,artifacts,excavation,ancient
qwen3:30b,joker,clown,trick,card
qwen3:30b,hurtful,words,wounds,remarks
qwen3:30b,nacho,cheese,snack,tortilla
qwen3:30b,unsafe,dangerous,risky,unstable
qwen3:30b,hummingbird,bird,flower,nectar
qwen3:30b,coast,shore,ocean,sand
qwen3:30b,immature,childish,juvenile,inexperienced
qwen3:30b,ligament,tissue,joint,bone
qwen3:30b,shield,protection,armor,defense
qwen3:30b,vegetarian,vegetable,vegan,plant
qwen3:30b,parcel,package,mail,delivery
qwen3:30b,madly,love,crazy,wild
qwen3:30b,flunk,fail,test,grade
qwen3:30b,traveler,tourist,journey,passport
qwen3:30b,bubble gum,chew,bubble,pink
qwen3:30b,expel,evict,eject,remove
qwen3:30b,leaning,wall,tree,forward
qwen3:30b,juicer,orange,lemon,citrus
qwen3:30b,hovercraft,air,water,vehicle
qwen3:30b,fabric,cloth,textile,material
qwen3:30b,captivity,imprisonment,confinement,prison
qwen3:30b,lamb,sheep,meat,wool
qwen3:30b,failure,loss,error,defeat
qwen3:30b,balls,sports,golf,tennis
qwen3:30b,governance,management,rules,policy
qwen3:30b,electricity,power,current,energy
qwen3:30b,celebrity,star,famous,actor
qwen3:30b,masturbate,alone,No more responses,No more responses
qwen3:30b,extroverted,outgoing,sociable,talkative
qwen3:30b,breed,dog,animal,raise
qwen3:30b,frustrated,angry,stuck,helpless
qwen3:30b,goodwill,charity,kindness,generosity
qwen3:30b,dialogue,conversation,talk,speech
qwen3:30b,unrealistic,impossible,exaggerated,fantasy
qwen3:30b,hobble,limp,walk,stumble
qwen3:30b,unripe,green,tart,hard
qwen3:30b,boxer,punch,gloves,champion
qwen3:30b,laborer,worker,construction,manual
qwen3:30b,atheism,godless,rational,secular
qwen3:30b,autumn,fall,leaves,harvest
qwen3:30b,repress,suppress,control,emotions
qwen3:30b,sweatshop,labor,exploitation,child
qwen3:30b,veer,turn,swerve,direction
qwen3:30b,mystical,magic,spirit,ancient
qwen3:30b,redwood,tree,forest,california
qwen3:30b,gods,Greeks,myth,divine
qwen3:30b,elbow,joint,bend,pain
qwen3:30b,sterile,clean,medical,antiseptic
qwen3:30b,mailbox,post,letter,delivery
qwen3:30b,rundown,dilapidated,shabby,crumbling
qwen3:30b,execute,kill,carry,perform
qwen3:30b,hitchhike,thumb,ride,road
qwen3:30b,intoxicate,drunk,alcohol,euphoria
qwen3:30b,complete,whole,finished,total
qwen3:30b,vomit,sick,nausea,stomach
qwen3:30b,civilization,society,technology,progress
qwen3:30b,let,go,me,it
qwen3:30b,gifted,talented,smart,creative
qwen3:30b,whiskers,cat,hair,fur
qwen3:30b,lore,myth,legend,history
qwen3:30b,Norway,Viking,Fjord,Oslo
qwen3:30b,petrol,gasoline,fuel,gas
qwen3:30b,Islam,faith,prayer,mosque
qwen3:30b,mitten,glove,hand,winter
qwen3:30b,cozy,warm,soft,snug
qwen3:30b,hum,bee,drone,tune
qwen3:30b,head,brain,hair,neck
qwen3:30b,mints,fresh,candy,peppermint
qwen3:30b,increasing,growth,rate,trend
qwen3:30b,chauffeur,driver,limousine,service
qwen3:30b,constant,steady,unvarying,unchanging
qwen3:30b,zeal,passion,fervor,enthusiasm
qwen3:30b,periscope,submarine,view,water
qwen3:30b,oddity,strange,unusual,quirk
qwen3:30b,monotonous,Boring,Repetitive,Dull
qwen3:30b,stupid,idiot,dumb,foolish
qwen3:30b,hers,herself,her,his
qwen3:30b,scribe,write,pen,scroll
qwen3:30b,campfire,smoke,wood,embers
qwen3:30b,cartoon,animation,funny,character
qwen3:30b,contempt,disdain,scorn,disrespect
qwen3:30b,cactus,desert,spine,plant
qwen3:30b,fad,trend,craze,rage
qwen3:30b,since,after,because,when
qwen3:30b,tom,cat,jerry,sawyer
qwen3:30b,devil,satan,hell,evil
qwen3:30b,tuba,instrument,brass,bass
qwen3:30b,algae,ocean,seaweed,green
qwen3:30b,crows,black,smart,death
qwen3:30b,cooler,ice,drink,cold
qwen3:30b,martial art,karate,judo,taekwondo
qwen3:30b,medic,doctor,nurse,emergency
qwen3:30b,pesky,annoying,nagging,troublesome
qwen3:30b,stretch,muscle,yoga,rubber
qwen3:30b,thrifty,frugal,cheap,sparing
qwen3:30b,amass,accumulate,collect,gather
qwen3:30b,flawed,imperfect,broken,defective
qwen3:30b,term,word,definition,legal
