model,w1,w2,rating
qwen3:30b,love,sex,2
qwen3:30b,tiger,cat,7
qwen3:30b,tiger,tiger,10
qwen3:30b,book,paper,3
qwen3:30b,computer,keyboard,1
qwen3:30b,computer,internet,Invalid Response
qwen3:30b,plane,car,2
qwen3:30b,train,car,2
qwen3:30b,telephone,communication,3
qwen3:30b,television,radio,5
qwen3:30b,media,radio,7
qwen3:30b,drug,abuse,0
qwen3:30b,bread,butter,1
qwen3:30b,cucumber,potato,2
qwen3:30b,doctor,nurse,6
qwen3:30b,professor,doctor,7
qwen3:30b,student,professor,2
qwen3:30b,smart,student,0
qwen3:30b,smart,stupid,0
qwen3:30b,company,stock,2
qwen3:30b,stock,market,7
qwen3:30b,stock,phone,0
qwen3:30b,stock,CD,0
qwen3:30b,stock,jaguar,0
qwen3:30b,stock,egg,0
qwen3:30b,fertility,egg,2
qwen3:30b,stock,live,0
qwen3:30b,stock,life,0
qwen3:30b,book,library,2
qwen3:30b,bank,money,3
qwen3:30b,wood,forest,5
qwen3:30b,money,cash,9
qwen3:30b,professor,cucumber,0
qwen3:30b,king,cabbage,0
qwen3:30b,king,queen,9
qwen3:30b,king,rook,0
qwen3:30b,bishop,rabbi,4
qwen3:30b,Jerusalem,Israel,2
qwen3:30b,Jerusalem,Palestinian,0
qwen3:30b,holy,sex,0
qwen3:30b,fuck,sex,7
qwen3:30b,Maradona,football,0
qwen3:30b,football,soccer,10
qwen3:30b,football,basketball,2
qwen3:30b,football,tennis,1
qwen3:30b,tennis,racket,3
qwen3:30b,Arafat,peace,0
qwen3:30b,Arafat,terror,0
qwen3:30b,Arafat,Jackson,0
qwen3:30b,law,lawyer,1
qwen3:30b,movie,star,2
qwen3:30b,movie,popcorn,0
qwen3:30b,movie,critic,0
qwen3:30b,movie,theater,3
qwen3:30b,physics,proton,1
qwen3:30b,physics,chemistry,5
qwen3:30b,space,chemistry,0
qwen3:30b,alcohol,chemistry,1
qwen3:30b,vodka,gin,5
qwen3:30b,vodka,brandy,5
qwen3:30b,drink,car,0
qwen3:30b,drink,ear,0
qwen3:30b,drink,mouth,0
qwen3:30b,drink,eat,4
qwen3:30b,baby,mother,0
qwen3:30b,drink,mother,0
qwen3:30b,car,automobile,10
qwen3:30b,gem,jewel,10
qwen3:30b,journey,voyage,8
qwen3:30b,boy,lad,9
qwen3:30b,coast,shore,9
qwen3:30b,asylum,madhouse,3
qwen3:30b,magician,wizard,9
qwen3:30b,midday,noon,10
qwen3:30b,furnace,stove,3
qwen3:30b,food,fruit,7
qwen3:30b,bird,cock,3
qwen3:30b,bird,crane,7
qwen3:30b,tool,implement,10
qwen3:30b,brother,monk,2
qwen3:30b,crane,implement,0
qwen3:30b,lad,brother,2
qwen3:30b,journey,car,0
qwen3:30b,monk,oracle,0
qwen3:30b,cemetery,woodland,0
qwen3:30b,food,rooster,0
qwen3:30b,coast,hill,0
qwen3:30b,forest,graveyard,0
qwen3:30b,shore,woodland,0
qwen3:30b,monk,slave,0
qwen3:30b,coast,forest,0
qwen3:30b,lad,wizard,0
qwen3:30b,chord,smile,0
qwen3:30b,glass,magician,0
qwen3:30b,noon,string,0
qwen3:30b,rooster,voyage,0
qwen3:30b,money,dollar,7
qwen3:30b,money,cash,9
qwen3:30b,money,currency,9
