model,w1,w2,rating
qwen3:14b,love,sex,2
qwen3:14b,tiger,cat,7
qwen3:14b,tiger,tiger,10
qwen3:14b,book,paper,3
qwen3:14b,computer,keyboard,3
qwen3:14b,computer,internet,3
qwen3:14b,plane,car,3
qwen3:14b,train,car,4
qwen3:14b,telephone,communication,4
qwen3:14b,television,radio,6
qwen3:14b,media,radio,5
qwen3:14b,drug,abuse,1
qwen3:14b,bread,butter,2
qwen3:14b,cucumber,potato,3
qwen3:14b,doctor,nurse,6
qwen3:14b,professor,doctor,7
qwen3:14b,student,professor,5
qwen3:14b,smart,student,3
qwen3:14b,smart,stupid,0
qwen3:14b,company,stock,4
qwen3:14b,stock,market,5
qwen3:14b,stock,phone,0
qwen3:14b,stock,CD,2
qwen3:14b,stock,jaguar,0
qwen3:14b,stock,egg,0
qwen3:14b,fertility,egg,3
qwen3:14b,stock,live,0
qwen3:14b,stock,life,0
qwen3:14b,book,library,3
qwen3:14b,bank,money,3
qwen3:14b,wood,forest,4
qwen3:14b,money,cash,8
qwen3:14b,professor,cucumber,0
qwen3:14b,king,cabbage,0
qwen3:14b,king,queen,8
qwen3:14b,king,rook,2
qwen3:14b,bishop,rabbi,6
qwen3:14b,Jerusalem,Israel,6
qwen3:14b,Jerusalem,Palestinian,4
qwen3:14b,holy,sex,0
qwen3:14b,fuck,sex,3
qwen3:14b,Maradona,football,2
qwen3:14b,football,soccer,10
qwen3:14b,football,basketball,3
qwen3:14b,football,tennis,3
qwen3:14b,tennis,racket,5
qwen3:14b,Arafat,peace,0
qwen3:14b,Arafat,terror,2
qwen3:14b,Arafat,Jackson,1
qwen3:14b,law,lawyer,3
qwen3:14b,movie,star,2
qwen3:14b,movie,popcorn,1
qwen3:14b,movie,critic,0
qwen3:14b,movie,theater,4
qwen3:14b,physics,proton,2
qwen3:14b,physics,chemistry,4
qwen3:14b,space,chemistry,0
qwen3:14b,alcohol,chemistry,1
qwen3:14b,vodka,gin,5
qwen3:14b,vodka,brandy,4
qwen3:14b,drink,car,0
qwen3:14b,drink,ear,0
qwen3:14b,drink,mouth,2
qwen3:14b,drink,eat,6
qwen3:14b,baby,mother,2
qwen3:14b,drink,mother,0
qwen3:14b,car,automobile,10
qwen3:14b,gem,jewel,10
qwen3:14b,journey,voyage,7
qwen3:14b,boy,lad,9
qwen3:14b,coast,shore,10
qwen3:14b,asylum,madhouse,6
qwen3:14b,magician,wizard,10
qwen3:14b,midday,noon,10
qwen3:14b,furnace,stove,5
qwen3:14b,food,fruit,5
qwen3:14b,bird,cock,6
qwen3:14b,bird,crane,7
qwen3:14b,tool,implement,10
qwen3:14b,brother,monk,2
qwen3:14b,crane,implement,2
qwen3:14b,lad,brother,3
qwen3:14b,journey,car,2
qwen3:14b,monk,oracle,2
qwen3:14b,cemetery,woodland,0
qwen3:14b,food,rooster,0
qwen3:14b,coast,hill,3
qwen3:14b,forest,graveyard,2
qwen3:14b,shore,woodland,2
qwen3:14b,monk,slave,0
