model,w1,w2,rating
gemma3:1b,love,sex,10
gemma3:1b,tiger,cat,9
gemma3:1b,tiger,tiger,9
gemma3:1b,book,paper,8
gemma3:1b,computer,keyboard,8
gemma3:1b,computer,internet,9
gemma3:1b,plane,car,9
gemma3:1b,train,car,9
gemma3:1b,telephone,communication,9
gemma3:1b,television,radio,9
gemma3:1b,media,radio,8
gemma3:1b,drug,abuse,7
gemma3:1b,bread,butter,9
gemma3:1b,cucumber,potato,8
gemma3:1b,doctor,nurse,Invalid Response
gemma3:1b,professor,doctor,Invalid Response
gemma3:1b,student,professor,7
gemma3:1b,smart,student,9
gemma3:1b,smart,stupid,7
gemma3:1b,company,stock,9
gemma3:1b,stock,market,8
gemma3:1b,stock,phone,0
gemma3:1b,stock,CD,0
gemma3:1b,stock,jaguar,7
gemma3:1b,stock,egg,7
gemma3:1b,fertility,egg,9
gemma3:1b,stock,live,7
gemma3:1b,stock,life,7
gemma3:1b,book,library,9
gemma3:1b,bank,money,9
gemma3:1b,wood,forest,Invalid Response
gemma3:1b,money,cash,9
gemma3:1b,professor,cucumber,Invalid Response
gemma3:1b,king,cabbage,4
gemma3:1b,king,queen,9
gemma3:1b,king,rook,8
gemma3:1b,bishop,rabbi,9
gemma3:1b,Jerusalem,Israel,9
gemma3:1b,Jerusalem,Palestinian,7
gemma3:1b,holy,sex,0
gemma3:1b,fuck,sex,0
gemma3:1b,Maradona,football,9
gemma3:1b,football,soccer,9
gemma3:1b,football,basketball,9
gemma3:1b,football,tennis,9
gemma3:1b,tennis,racket,9
gemma3:1b,Arafat,peace,8
gemma3:1b,Arafat,terror,0
gemma3:1b,Arafat,Jackson,9
gemma3:1b,law,lawyer,9
gemma3:1b,movie,star,8
gemma3:1b,movie,popcorn,8
gemma3:1b,movie,critic,7
gemma3:1b,movie,theater,9
gemma3:1b,physics,proton,7
gemma3:1b,physics,chemistry,
gemma3:1b,space,chemistry,9
gemma3:1b,alcohol,chemistry,9
gemma3:1b,vodka,gin,9
gemma3:1b,vodka,brandy,9
gemma3:1b,drink,car,7
gemma3:1b,drink,ear,7
gemma3:1b,drink,mouth,9
gemma3:1b,drink,eat,7
gemma3:1b,baby,mother,8
gemma3:1b,drink,mother,7
gemma3:1b,car,automobile,9
gemma3:1b,gem,jewel,9
gemma3:1b,journey,voyage,9
gemma3:1b,boy,lad,9
gemma3:1b,coast,shore,8
gemma3:1b,asylum,madhouse,Invalid Response
gemma3:1b,magician,wizard,9
gemma3:1b,midday,noon,8
gemma3:1b,furnace,stove,9
gemma3:1b,food,fruit,7
gemma3:1b,bird,cock,8
gemma3:1b,bird,crane,8
gemma3:1b,tool,implement,6
gemma3:1b,brother,monk,7
gemma3:1b,crane,implement,8
gemma3:1b,lad,brother,7
gemma3:1b,journey,car,7
gemma3:1b,monk,oracle,9
gemma3:1b,cemetery,woodland,7
gemma3:1b,food,rooster,4
gemma3:1b,coast,hill,7
gemma3:1b,forest,graveyard,9
gemma3:1b,shore,woodland,7
gemma3:1b,monk,slave,0
gemma3:1b,coast,forest,7
gemma3:1b,lad,wizard,9
gemma3:1b,chord,smile,7
gemma3:1b,glass,magician,8
gemma3:1b,noon,string,9
gemma3:1b,rooster,voyage,0
gemma3:1b,money,dollar,9
gemma3:1b,money,cash,8
