model,cue,A1,A2,A3
qwen3:8b,Cheddar,cheese,milk,aging
qwen3:8b,Parmesan,cheese,Italian,grated
qwen3:8b,bubonic,plague,black,rat
qwen3:8b,moo,cow,milk,farm
qwen3:8b,halt,stop,pause,suspend
qwen3:8b,inebriated,Drunk,Tipsy,Intoxicated
qwen3:8b,arachnid,spider,scorpion,mite
qwen3:8b,elm,tree,shade,bark
qwen3:8b,brie,cheese,soft,france
qwen3:8b,pituitary,hormone,gland,brain
qwen3:8b,wick,candle,lamp,fire
qwen3:8b,perspire,sweat,heat,workout
qwen3:8b,feline,cat,lion,tiger
qwen3:8b,mozzarella,cheese,pizza,curd
qwen3:8b,brewery,beer,malt,hop
qwen3:8b,smooch,kiss,love,touch
qwen3:8b,sill,ledge,rock,stone
qwen3:8b,cob,corn,stone,grain
qwen3:8b,newborn,baby,infant,child
qwen3:8b,physician,doctor,hospital,patient
qwen3:8b,teddy,bear,plush,toy
qwen3:8b,marrow,bone,blood,cell
qwen3:8b,impolite,rude,disrespectful,insolent
qwen3:8b,cobra,venom,snake,poison
qwen3:8b,perhaps,maybe,possibly,uncertain
qwen3:8b,retina,eye,vision,light
qwen3:8b,oink,pig,farm,bacon
qwen3:8b,hound,dog,hunt,track
qwen3:8b,Sahara,desert,dunes,camel
qwen3:8b,not good,bad,poor,terrible
qwen3:8b,grizzly,bear,wild,forest
qwen3:8b,uncooked,raw,underdone,unbaked
qwen3:8b,maize,corn,grain,crop
qwen3:8b,meow,cat,sound,noise
qwen3:8b,fir,tree,pine,wood
qwen3:8b,loaf,bread,cake,roll
qwen3:8b,holster,gun,weapon,carry
qwen3:8b,search engine,Google,browser,results
qwen3:8b,lager,beer,brewery,hop
qwen3:8b,inexpensive,cheap,affordable,low-cost
qwen3:8b,fib,lie,whisper,secret
qwen3:8b,viper,snake,venom,bite
qwen3:8b,yolk,egg,yellow,golden
qwen3:8b,grater,cheese,tool,shredder
qwen3:8b,heifer,Cow,Barn,Milk
qwen3:8b,down under,Australia,Reef,Kiwi
qwen3:8b,cashew,nut,tree,fruit
qwen3:8b,steed,horse,ride,mount
qwen3:8b,exhausted,tired,weary,fatigued
qwen3:8b,comprehend,understand,grasp,fathom
qwen3:8b,cheerful,happy,joyful,merry
qwen3:8b,obese,overweight,fat,health
qwen3:8b,itch,scratch,rub,poke
qwen3:8b,nostril,face,breath,smell
qwen3:8b,spud,potato,tool,dig
qwen3:8b,udder,milk,cow,teat
qwen3:8b,hare,rabbit,speed,burrow
qwen3:8b,parchment,scroll,paper,ink
qwen3:8b,weep,crying,sadness,tears
qwen3:8b,perspiration,exercise,sweat,heat
qwen3:8b,despise,contempt,hatred,dislike
qwen3:8b,honeydew,melon,sweet,juicy
qwen3:8b,sirloin,beef,steak,grill
qwen3:8b,serpent,snake,coil,venom
qwen3:8b,beagle,dog,smell,track
qwen3:8b,cod,fish,sea,cold
qwen3:8b,tardy,late,delayed,slow
qwen3:8b,stallion,horse,power,speed
qwen3:8b,gust,wind,blast,air
qwen3:8b,purr,cat,sound,meow
qwen3:8b,jigsaw,puzzle,picture,pieces
qwen3:8b,dromedary,camel,hump,desert
qwen3:8b,automobile,car,vehicle,engine
qwen3:8b,giggle,laugh,tease,jest
qwen3:8b,grown up,mature,adult,experience
qwen3:8b,saddle,horse,leather,back
qwen3:8b,educator,teacher,mentor,guide
qwen3:8b,Cairo,Egypt,Nile,Pyramids
qwen3:8b,concur,agree,support,unite
qwen3:8b,weary,tired,fatigue,drained
qwen3:8b,spotless,clean,perfect,pristine
qwen3:8b,petal,flower,color,bloom
qwen3:8b,misplaced,error,confusion,disorder
qwen3:8b,kitty,cat,kitten,pet
qwen3:8b,intoxicated,drunk,tipsy,buzzed
qwen3:8b,vehicle,car,truck,bus
qwen3:8b,attempt,try,strive,endeavor
qwen3:8b,unattractive,ugly,plain,unfashionable
qwen3:8b,trousers,pants,jeans,belt
qwen3:8b,espresso,coffee,bitter,dark
qwen3:8b,sufficient,adequate,ample,plenty
qwen3:8b,orchid,bloom,color,tropical
qwen3:8b,hilarious,funny,amusing,comical
qwen3:8b,fedora,hat,style,tuxedo
qwen3:8b,deity,god,divine,spirit
qwen3:8b,arid,dry,desert,scorching
qwen3:8b,wager,bet,risk,stake
qwen3:8b,spectacles,glasses,vision,frames
qwen3:8b,brawl,fight,altercation,scuffle
qwen3:8b,leash,dog,walk,control
