model,cue,A1,A2,A3
qwen3:30b,Cheddar,Cheese,Sharp,Yellow
qwen3:30b,Parmesan,cheese,grated,pasta
qwen3:30b,bubonic,plague,flea,black
qwen3:30b,moo,cow,milk,farm
qwen3:30b,halt,stop,pause,cease
qwen3:30b,inebriated,drunk,intoxicated,tipsy
qwen3:30b,arachnid,spider,scorpion,tick
qwen3:30b,elm,tree,wood,street
qwen3:30b,brie,cheese,soft,French
qwen3:30b,pituitary,gland,master,hormone
qwen3:30b,wick,candle,lamp,fire
qwen3:30b,perspire,sweat,heat,effort
qwen3:30b,feline,cat,purr,meow
qwen3:30b,mozzarella,cheese,pizza,salad
qwen3:30b,brewery,beer,bar,hop
qwen3:30b,smooch,kiss,love,romance
qwen3:30b,sill,window,frame,stone
qwen3:30b,cob,corn,ear,husk
qwen3:30b,newborn,baby,infant,cry
qwen3:30b,physician,doctor,medical,health
qwen3:30b,teddy,bear,toy,stuffed
qwen3:30b,marrow,bone,fat,tissue
qwen3:30b,impolite,rude,disrespectful,offensive
qwen3:30b,cobra,snake,hood,venom
qwen3:30b,perhaps,maybe,possibly,might
qwen3:30b,retina,eye,vision,light
qwen3:30b,oink,pig,bacon,squeal
qwen3:30b,hound,dog,blood,scent
qwen3:30b,Sahara,Desert,Sand,Africa
qwen3:30b,not good,bad,poor,terrible
qwen3:30b,grizzly,bear,brown,wild
qwen3:30b,uncooked,raw,meat,vegetable
qwen3:30b,maize,corn,field,grain
qwen3:30b,meow,cat,kitty,purr
qwen3:30b,fir,tree,cone,wood
qwen3:30b,loaf,bread,slice,bake
qwen3:30b,holster,gun,belt,pistol
qwen3:30b,search engine,Google,Bing,Yahoo
qwen3:30b,lager,beer,cold,malt
qwen3:30b,inexpensive,cheap,affordable,budget
qwen3:30b,fib,lie,small,white
qwen3:30b,viper,snake,venom,poison
qwen3:30b,yolk,egg,yellow,cholesterol
qwen3:30b,grater,cheese,shred,vegetable
qwen3:30b,heifer,cow,cattle,dairy
qwen3:30b,down under,Australia,kangaroo,outback
qwen3:30b,cashew,nut,almond,crunch
qwen3:30b,steed,horse,charger,palfrey
qwen3:30b,exhausted,tired,weary,drained
qwen3:30b,comprehend,understand,grasp,decode
qwen3:30b,cheerful,happy,bright,smile
qwen3:30b,obese,overweight,fat,unhealthy
qwen3:30b,itch,scratch,skin,rash
qwen3:30b,nostril,smell,nose,breath
qwen3:30b,spud,potato,fries,chips
qwen3:30b,udder,cow,milk,calf
qwen3:30b,hare,rabbit,leap,spring
qwen3:30b,parchment,paper,scroll,manuscript
qwen3:30b,weep,cry,tears,sad
qwen3:30b,perspiration,sweat,heat,exercise
qwen3:30b,despise,hate,loathe,abhor
qwen3:30b,honeydew,melon,sweet,green
qwen3:30b,sirloin,beef,steak,grill
qwen3:30b,serpent,snake,coil,evil
qwen3:30b,beagle,dog,hound,nose
qwen3:30b,cod,fish,sea,meal
qwen3:30b,tardy,late,delayed,slow
qwen3:30b,stallion,horse,strong,male
qwen3:30b,gust,wind,blast,air
qwen3:30b,purr,cat,content,soft
qwen3:30b,jigsaw,puzzle,pieces,picture
qwen3:30b,dromedary,camel,desert,hump
qwen3:30b,automobile,car,vehicle,engine
qwen3:30b,giggle,laugh,child,nervous
qwen3:30b,grown up,adult,mature,older
qwen3:30b,saddle,horse,leather,riding
qwen3:30b,educator,teacher,instructor,mentor
qwen3:30b,Cairo,Egypt,Nile,Pyramids
qwen3:30b,concur,agree,support,consent
qwen3:30b,weary,tired,exhausted,drained
qwen3:30b,spotless,clean,pure,pristine
qwen3:30b,petal,flower,color,bloom
qwen3:30b,misplaced,object,keys,book
qwen3:30b,kitty,cat,purr,meow
qwen3:30b,intoxicated,drunk,alcohol,tipsy
qwen3:30b,vehicle,car,truck,bus
qwen3:30b,attempt,try,fail,effort
qwen3:30b,unattractive,ugly,plain,homely
qwen3:30b,trousers,pants,jeans,denim
qwen3:30b,espresso,coffee,shot,strong
qwen3:30b,sufficient,enough,adequate,ample
qwen3:30b,orchid,flower,exotic,tropical
qwen3:30b,hilarious,funny,comedy,laugh
qwen3:30b,fedora,hat,detective,vintage
qwen3:30b,deity,god,goddess,divine
qwen3:30b,arid,desert,drought,sandy
qwen3:30b,wager,bet,gamble,risk
qwen3:30b,spectacles,glasses,reading,eyes
qwen3:30b,brawl,fight,scuffle,clash
qwen3:30b,leash,dog,lead,walk
