model,cue,A1,A2,A3
gemma3:27b,Cheddar,Cheese,Yellow,Sharp
gemma3:27b,Parmesan,Cheese,Italy,Pasta
gemma3:27b,bubonic,plague,rats,medieval
gemma3:27b,moo,cow,farm,grass
gemma3:27b,halt,stop,pause,freeze
gemma3:27b,inebriated,drunk,tipsy,wobbly
gemma3:27b,arachnid,spider,web,creepy
gemma3:27b,elm,tree,forest,shade
gemma3:27b,brie,cheese,France,delicious
gemma3:27b,pituitary,hormone,growth,brain
gemma3:27b,wick,candle,flame,light
gemma3:27b,perspire,sweat,heat,exercise
gemma3:27b,feline,cat,graceful,hunter
gemma3:27b,mozzarella,cheese,pizza,Italy
gemma3:27b,brewery,beer,hops,malt
gemma3:27b,smooch,kiss,affection,love
gemma3:27b,sill,window,ledge,wood
gemma3:27b,cob,corn,maze,farmer
gemma3:27b,newborn,baby,innocent,fragile
gemma3:27b,physician,doctor,health,hospital
gemma3:27b,teddy,bear,soft,childhood
gemma3:27b,marrow,bone,inside,soft
gemma3:27b,impolite,rude,offensive,disrespectful
gemma3:27b,cobra,snake,venom,fangs
gemma3:27b,perhaps,maybe,possibly,uncertainly
gemma3:27b,retina,vision,eye,perception
gemma3:27b,oink,pig,mud,farm
gemma3:27b,hound,dog,loyal,chase
gemma3:27b,Sahara,desert,sand,heat
gemma3:27b,not good,bad,terrible,awful
gemma3:27b,grizzly,bear,powerful,wildlife
gemma3:27b,uncooked,raw,fresh,food
gemma3:27b,maize,corn,yellow,harvest
gemma3:27b,meow,cat,kitten,purr
gemma3:27b,fir,tree,forest,green
gemma3:27b,loaf,bread,bake,eat
gemma3:27b,holster,gun,leather,protection
gemma3:27b,search engine,Google,information,results
gemma3:27b,lager,beer,brewery,hops
gemma3:27b,inexpensive,cheap,affordable,budget
gemma3:27b,fib,sequence,math,numbers
gemma3:27b,viper,snake,poison,fang
gemma3:27b,yolk,egg,yellow,breakfast
gemma3:27b,grater,cheese,kitchen,food
gemma3:27b,heifer,cow,cattle,farm
gemma3:27b,down under,Australia,koala,outback
gemma3:27b,cashew,nut,smooth,allergy
gemma3:27b,steed,horse,mount,gallop
gemma3:27b,exhausted,tired,sleep,rest
gemma3:27b,comprehend,understand,learn,grasp
gemma3:27b,cheerful,happy,bright,joyful
gemma3:27b,obese,weight,health,diet
gemma3:27b,itch,scratch,relief,irritation
gemma3:27b,nostril,breath,smell,nasal
gemma3:27b,spud,potato,vegetable,earthy
gemma3:27b,udder,milk,cow,farm
gemma3:27b,hare,rabbit,fast,burrow
gemma3:27b,parchment,antique,scroll,vellum
gemma3:27b,weep,cry,sadness,tears
gemma3:27b,perspiration,sweat,summer,exercise
gemma3:27b,despise,hate,loathe,abhor
gemma3:27b,honeydew,melon,sweet,summer
gemma3:27b,sirloin,steak,beef,grill
gemma3:27b,serpent,snake,reptile,danger
gemma3:27b,beagle,dog,hound,playful
gemma3:27b,cod,fish,salt,ocean
gemma3:27b,tardy,late,delay,unpunctual
gemma3:27b,stallion,horse,power,speed
gemma3:27b,gust,wind,breeze,storm
gemma3:27b,purr,cat,content,sleepy
gemma3:27b,jigsaw,puzzle,pieces,complete
gemma3:27b,dromedary,camel,desert,sand
gemma3:27b,automobile,vehicle,speed,transportation
gemma3:27b,giggle,laugh,happy,joyful
gemma3:27b,grown up,adult,responsible,mature
gemma3:27b,saddle,horse,leather,ride
gemma3:27b,educator,teacher,knowledge,learning
gemma3:27b,Cairo,Egypt,Nile,Pyramids
gemma3:27b,concur,agree,approval,harmony
gemma3:27b,weary,tired,exhausted,sleepy
gemma3:27b,spotless,clean,pure,bright
gemma3:27b,petal,flower,soft,fragrant
gemma3:27b,misplaced,lost,forgotten,disordered
gemma3:27b,kitty,cat,meow,playful
gemma3:27b,intoxicated,drunk,tipsy,inebriated
gemma3:27b,vehicle,car,road,travel
gemma3:27b,attempt,try,effort,failure
gemma3:27b,unattractive,repulsive,ugly,disgusting
gemma3:27b,trousers,pants,clothing,denim
gemma3:27b,espresso,coffee,aroma,morning
gemma3:27b,sufficient,enough,adequate,plenty
gemma3:27b,orchid,flower,fragrant,purple
gemma3:27b,hilarious,funny,laugh,joyful
gemma3:27b,fedora,hat,Indiana,stylish
gemma3:27b,deity,god,worship,spirit
gemma3:27b,arid,desert,dry,barren
gemma3:27b,wager,bet,risk,gamble
gemma3:27b,spectacles,vision,eyes,glasses
gemma3:27b,brawl,fight,chaos,anger
gemma3:27b,leash,dog,walk,control
