model,cue,A1,A2,A3
qwen3:1.7b,Cheddar,Cheese,Melted,Curd
qwen3:1.7b,Parmesan,food,Italian,creamy
qwen3:1.7b,bubonic,plague,lymph,immune
qwen3:1.7b,moo,cow,herd,noise
qwen3:1.7b,halt,stop,pause,end
qwen3:1.7b,inebriated,drunk,daze,surrender
qwen3:1.7b,arachnid,spider,web,scorpion
qwen3:1.7b,elm,tree,autumn,ecosystem
qwen3:1.7b,brie,cheese,fresh,mild
qwen3:1.7b,pituitary,hormone,regulator,endocrine
qwen3:1.7b,wick,candle,wood,light
qwen3:1.7b,perspire,sweat,damp,moist
qwen3:1.7b,feline,purring,sleek,cute
qwen3:1.7b,mozzarella,italian,fresh,milk
qwen3:1.7b,brewery,beer,ale,brewer
qwen3:1.7b,smooch,kiss,soft,touch
qwen3:1.7b,sill,ship,water,structure
qwen3:1.7b,cob,seed,grass,crop
qwen3:1.7b,newborn,innocent,pure,sensitive
qwen3:1.7b,physician,doctor,healthcare,medicines
qwen3:1.7b,teddy,bear,warm,cuddle
qwen3:1.7b,marrow,bone,blood,tissue
qwen3:1.7b,impolite,rudeness,disrespect,awkward
qwen3:1.7b,cobra,Invalid Response,Invalid Response,Invalid Response
qwen3:1.7b,perhaps,uncertainty,doubt,tentative
qwen3:1.7b,retina,vision,eye,sight
qwen3:1.7b,oink,pig,bellow,grunt
qwen3:1.7b,hound,Invalid Response,Invalid Response,Invalid Response
qwen3:1.7b,Sahara,dune,camel,oasis
qwen3:1.7b,not good,bad,terrible,poor
qwen3:1.7b,grizzly,mountain,thunder,snow
qwen3:1.7b,uncooked,raw,fruit,vegetable
qwen3:1.7b,maize,corn,kernel,field
qwen3:1.7b,meow,cat,night,play
qwen3:1.7b,fir,tree,evergreen,winter
qwen3:1.7b,loaf,bread,butter,toast
qwen3:1.7b,holster,weapon,safe,carry
qwen3:1.7b,search engine,information,technology,results
qwen3:1.7b,lager,beer,brewery,crisp
qwen3:1.7b,inexpensive,cheap,affordable,value
qwen3:1.7b,fib,fiber,lie,fibre
qwen3:1.7b,viper,venom,desert,flicker
qwen3:1.7b,yolk,egg,cream,nutrient
qwen3:1.7b,grater,grate,vegetable,grater
qwen3:1.7b,heifer,milker,pasture,herd
qwen3:1.7b,down under,outback,kangaroo,desert
qwen3:1.7b,cashew,nut,sweet,shell
qwen3:1.7b,steed,horse,rider,battle
qwen3:1.7b,exhausted,tired,rest,sweat
qwen3:1.7b,comprehend,knowledge,learning,insight
qwen3:1.7b,cheerful,laughing,joy,sun
qwen3:1.7b,obese,fat,weight,sick
qwen3:1.7b,itch,pest,scratch,rash
qwen3:1.7b,nostril,breathing,smell,face
qwen3:1.7b,spud,potato,spud,root vegetable
qwen3:1.7b,udder,cow,milk,calf
qwen3:1.7b,hare,animal,wild,forest
qwen3:1.7b,parchment,note,soft,history
qwen3:1.7b,weep,tears,sadness,cry
qwen3:1.7b,perspiration,sweat,heat,dryness
qwen3:1.7b,despise,hatred,abhor,judgment
qwen3:1.7b,honeydew,sweet,juicy,melon
qwen3:1.7b,sirloin,beef,grilled,steak
qwen3:1.7b,serpent,mystery,danger,eternal
qwen3:1.7b,beagle,Hunting,Intelligent,Friendly
qwen3:1.7b,cod,fish,sea,salt
qwen3:1.7b,tardy,delay,late,slowness
qwen3:1.7b,stallion,horse,mane,race
qwen3:1.7b,gust,wind,fury,rush
qwen3:1.7b,purr,cat,sound,music
qwen3:1.7b,jigsaw,puzzle,piece,fit
qwen3:1.7b,dromedary,camel,hump,desert
qwen3:1.7b,automobile,driving,engine,ride
qwen3:1.7b,giggle,laughter,mirth,joy
qwen3:1.7b,grown up,maturity,responsibility,adulthood
qwen3:1.7b,saddle,constrain,horse,bag
qwen3:1.7b,educator,mentor,teacher,inspire
qwen3:1.7b,Cairo,Egypt,Nile,Pyramids
qwen3:1.7b,concur,agree,consensus,support
qwen3:1.7b,weary,rest,sleep,lack
qwen3:1.7b,spotless,clean,perfect,spotless
qwen3:1.7b,petal,flower,bloom,color
qwen3:1.7b,misplaced,item,person,hope
qwen3:1.7b,kitty,cat,purr,kitten
qwen3:1.7b,intoxicated,drunk,dazzled,maddened
qwen3:1.7b,vehicle,road,truck,cargo
qwen3:1.7b,attempt,fail,retry,struggle
qwen3:1.7b,unattractive,beautiful,ugly,shame
qwen3:1.7b,trousers,shirt,belt,jeans
qwen3:1.7b,espresso,coffee,Italy,bitter
qwen3:1.7b,sufficient,excess,deficiency,adequate
qwen3:1.7b,orchid,flower,elegant,garden
qwen3:1.7b,hilarious,joke,laughter,comedy
qwen3:1.7b,fedora,stylish,old,crown
qwen3:1.7b,deity,religion,gods,myth
qwen3:1.7b,arid,desert,drought,dry
qwen3:1.7b,wager,risk,bet,gamble
qwen3:1.7b,spectacles,glasses,focus,prescription
qwen3:1.7b,brawl,fight,combat,war
qwen3:1.7b,leash,control,restraint,constraint
