model,cue,A1,A2,A3
gemma3:12b,Cheddar,Cheese,Sharp,Dairy
gemma3:12b,Parmesan,Cheese,Italy,Flavor
gemma3:12b,bubonic,plague,rats,disease
gemma3:12b,moo,Cow,Farm,Milk
gemma3:12b,halt,stop,pause,cease
gemma3:12b,inebriated,drunk,happy,silly
gemma3:12b,arachnid,spider,insect,web
gemma3:12b,elm,tree,bark,wood
gemma3:12b,brie,cheese,France,soft
gemma3:12b,pituitary,brain,hormone,gland
gemma3:12b,wick,candle,flame,dark
gemma3:12b,perspire,sweat,moisten,damp
gemma3:12b,feline,cat,pet,animal
gemma3:12b,mozzarella,cheese,pizza,Italian
gemma3:12b,brewery,beer,hops,pub
gemma3:12b,smooch,kiss,love,affection
gemma3:12b,sill,window,ledge,seat
gemma3:12b,cob,corn,kernel,field
gemma3:12b,newborn,baby,small,soft
gemma3:12b,physician,doctor,patient,hospital
gemma3:12b,teddy,bear,toy,soft
gemma3:12b,marrow,bone,red,cells
gemma3:12b,impolite,rude,discourteous,bad
gemma3:12b,cobra,snake,venom,danger
gemma3:12b,perhaps,maybe,chance,doubt
gemma3:12b,retina,eyes,sight,vision
gemma3:12b,oink,Pig,Farm,Grunt
gemma3:12b,hound,dog,hunt,pack
gemma3:12b,Sahara,Desert,Africa,Heat
gemma3:12b,not good,bad,terrible,awful
gemma3:12b,grizzly,bear,forest,power
gemma3:12b,uncooked,raw,dough,pasta
gemma3:12b,maize,corn,yellow,grain
gemma3:12b,meow,cat,feline,sound
gemma3:12b,fir,tree,wood,cone
gemma3:12b,loaf,bread,bake,flour
gemma3:12b,holster,weapon,belt,pocket
gemma3:12b,search engine,query,web,find
gemma3:12b,lager,beer,drink,hops
gemma3:12b,inexpensive,cheap,small,basic
gemma3:12b,fib,gold,sequence,rabbit
gemma3:12b,viper,snake,poison,danger
gemma3:12b,yolk,egg,yellow,food
gemma3:12b,grater,cheese,kitchen,tool
gemma3:12b,heifer,cow,calf,farm
gemma3:12b,down under,Australia,Kiwi,Ocean
gemma3:12b,cashew,nut,food,snack
gemma3:12b,steed,horse,war,noble
gemma3:12b,exhausted,tired,sleep,weak
gemma3:12b,comprehend,understand,grasp,learn
gemma3:12b,cheerful,happy,joyful,bright
gemma3:12b,obese,fat,large,heavy
gemma3:12b,itch,skin,scratch,bug
gemma3:12b,nostril,nose,breath,smell
gemma3:12b,spud,potato,chip,mash
gemma3:12b,udder,cow,milk,farm
gemma3:12b,hare,rabbit,fast,leap
gemma3:12b,parchment,paper,scroll,antique
gemma3:12b,weep,sad,cry,grief
gemma3:12b,perspiration,sweat,moisture,heat
gemma3:12b,despise,hate,loathe,abhor
gemma3:12b,honeydew,melon,sweet,green
gemma3:12b,sirloin,steak,beef,dinner
gemma3:12b,serpent,snake,evil,danger
gemma3:12b,beagle,dog,brown,pet
gemma3:12b,cod,fish,ocean,food
gemma3:12b,tardy,late,missed,delay
gemma3:12b,stallion,horse,power,breed
gemma3:12b,gust,wind,breeze,force
gemma3:12b,purr,cat,sleep,soft
gemma3:12b,jigsaw,puzzle,pieces,image
gemma3:12b,dromedary,desert,camel,sand
gemma3:12b,automobile,car,vehicle,transport
gemma3:12b,giggle,laugh,joy,happy
gemma3:12b,grown up,adult,mature,older
gemma3:12b,saddle,horse,leather,ride
gemma3:12b,educator,teacher,learn,guide
gemma3:12b,Cairo,Egypt,Pyramid,Desert
gemma3:12b,concur,agree,approve,consent
gemma3:12b,weary,tired,sleepy,exhausted
gemma3:12b,spotless,clean,pristine,bright
gemma3:12b,petal,flower,bloom,fragile
gemma3:12b,misplaced,lost,wrong,here
gemma3:12b,kitty,cat,pet,cute
gemma3:12b,intoxicated,drunk,happy,blurred
gemma3:12b,vehicle,car,truck,train
gemma3:12b,attempt,try,fail,hope
gemma3:12b,unattractive,ugly,hideous,repulsive
gemma3:12b,trousers,pants,legs,cloth
gemma3:12b,espresso,coffee,bitter,drink
gemma3:12b,sufficient,enough,ample,ready
gemma3:12b,orchid,flower,purple,bloom
gemma3:12b,hilarious,funny,laugh,joy
gemma3:12b,fedora,hat,style,vintage
gemma3:12b,deity,god,power,belief
gemma3:12b,arid,desert,dry,barren
gemma3:12b,wager,bet,risk,chance
gemma3:12b,spectacles,vision,glasses,eyes
gemma3:12b,brawl,Fight,Rumble,Chaos
gemma3:12b,leash,dog,walk,control
