model,w1,w2,rating
qwen3:8b,love,sex,5
qwen3:8b,tiger,cat,8
qwen3:8b,tiger,tiger,10
qwen3:8b,book,paper,4
qwen3:8b,computer,keyboard,4
qwen3:8b,computer,internet,3
qwen3:8b,plane,car,2
qwen3:8b,train,car,7
qwen3:8b,telephone,communication,7
qwen3:8b,television,radio,7
qwen3:8b,media,radio,7
qwen3:8b,drug,abuse,5
qwen3:8b,bread,butter,2
qwen3:8b,cucumber,potato,3
qwen3:8b,doctor,nurse,7
qwen3:8b,professor,doctor,7
qwen3:8b,student,professor,2
qwen3:8b,smart,student,0
qwen3:8b,smart,stupid,0
qwen3:8b,company,stock,4
qwen3:8b,stock,market,6
qwen3:8b,stock,phone,1
qwen3:8b,stock,CD,1
qwen3:8b,stock,jaguar,2
qwen3:8b,stock,egg,1
qwen3:8b,fertility,egg,3
qwen3:8b,stock,live,1
qwen3:8b,stock,life,1
qwen3:8b,book,library,6
qwen3:8b,bank,money,3
qwen3:8b,wood,forest,9
qwen3:8b,money,cash,9
qwen3:8b,professor,cucumber,0
qwen3:8b,king,cabbage,0
qwen3:8b,king,queen,10
qwen3:8b,king,rook,0
qwen3:8b,bishop,rabbi,5
qwen3:8b,Jerusalem,Israel,4
qwen3:8b,Jerusalem,Palestinian,2
qwen3:8b,holy,sex,0
qwen3:8b,fuck,sex,4
qwen3:8b,Maradona,football,2
qwen3:8b,football,soccer,10
qwen3:8b,football,basketball,6
qwen3:8b,football,tennis,3
qwen3:8b,tennis,racket,5
qwen3:8b,Arafat,peace,0
qwen3:8b,Arafat,terror,1
qwen3:8b,Arafat,Jackson,0
qwen3:8b,law,lawyer,5
qwen3:8b,movie,star,2
qwen3:8b,movie,popcorn,2
qwen3:8b,movie,critic,2
qwen3:8b,movie,theater,5
qwen3:8b,physics,proton,2
qwen3:8b,physics,chemistry,7
qwen3:8b,space,chemistry,1
qwen3:8b,alcohol,chemistry,2
qwen3:8b,vodka,gin,9
qwen3:8b,vodka,brandy,6
qwen3:8b,drink,car,0
qwen3:8b,drink,ear,0
qwen3:8b,drink,mouth,3
qwen3:8b,drink,eat,7
qwen3:8b,baby,mother,4
qwen3:8b,drink,mother,1
qwen3:8b,car,automobile,10
qwen3:8b,gem,jewel,10
qwen3:8b,journey,voyage,10
qwen3:8b,boy,lad,10
qwen3:8b,coast,shore,10
qwen3:8b,asylum,madhouse,10
qwen3:8b,magician,wizard,10
qwen3:8b,midday,noon,10
qwen3:8b,furnace,stove,9
qwen3:8b,food,fruit,6
qwen3:8b,bird,cock,10
qwen3:8b,bird,crane,8
qwen3:8b,tool,implement,10
qwen3:8b,brother,monk,1
qwen3:8b,crane,implement,5
qwen3:8b,lad,brother,7
qwen3:8b,journey,car,2
qwen3:8b,monk,oracle,1
qwen3:8b,cemetery,woodland,2
qwen3:8b,food,rooster,0
