model,w1,w2,rating
gemma3:1b,love,sex,0
gemma3:1b,tiger,cat,9
gemma3:1b,tiger,tiger,8
gemma3:1b,book,paper,7
gemma3:1b,computer,keyboard,9
gemma3:1b,computer,internet,9
gemma3:1b,plane,car,9
gemma3:1b,train,car,9
gemma3:1b,telephone,communication,Invalid Response
gemma3:1b,television,radio,9
gemma3:1b,media,radio,8
gemma3:1b,drug,abuse,7
gemma3:1b,bread,butter,9
gemma3:1b,cucumber,potato,8
gemma3:1b,doctor,nurse,
gemma3:1b,professor,doctor,9
gemma3:1b,student,professor,9
gemma3:1b,smart,student,9
gemma3:1b,smart,stupid,3
gemma3:1b,company,stock,7
gemma3:1b,stock,market,8
gemma3:1b,stock,phone,9
gemma3:1b,stock,CD,0
gemma3:1b,stock,jaguar,9
gemma3:1b,stock,egg,Invalid Response
gemma3:1b,fertility,egg,9
gemma3:1b,stock,live,7
gemma3:1b,stock,life,
gemma3:1b,book,library,7
gemma3:1b,bank,money,9
gemma3:1b,wood,forest,9
gemma3:1b,money,cash,9
gemma3:1b,professor,cucumber,10
gemma3:1b,king,cabbage,Invalid Response
gemma3:1b,king,queen,9
gemma3:1b,king,rook,7
gemma3:1b,bishop,rabbi,9
gemma3:1b,Jerusalem,Israel,9
gemma3:1b,Jerusalem,Palestinian,Invalid Response
gemma3:1b,holy,sex,0
gemma3:1b,fuck,sex,0
gemma3:1b,Maradona,football,9
gemma3:1b,football,soccer,9
gemma3:1b,football,basketball,9
gemma3:1b,football,tennis,8
gemma3:1b,tennis,racket,9
gemma3:1b,Arafat,peace,Invalid Response
gemma3:1b,Arafat,terror,0
gemma3:1b,Arafat,Jackson,1
gemma3:1b,law,lawyer,9
gemma3:1b,movie,star,8
gemma3:1b,movie,popcorn,9
gemma3:1b,movie,critic,8
gemma3:1b,movie,theater,8
gemma3:1b,physics,proton,Invalid Response
gemma3:1b,physics,chemistry,9
gemma3:1b,space,chemistry,Invalid Response
gemma3:1b,alcohol,chemistry,9
gemma3:1b,vodka,gin,9
gemma3:1b,vodka,brandy,9
gemma3:1b,drink,car,7
gemma3:1b,drink,ear,7
gemma3:1b,drink,mouth,9
gemma3:1b,drink,eat,7
gemma3:1b,baby,mother,9
gemma3:1b,drink,mother,3
gemma3:1b,car,automobile,9
gemma3:1b,gem,jewel,9
gemma3:1b,journey,voyage,8
gemma3:1b,boy,lad,9
gemma3:1b,coast,shore,9
gemma3:1b,asylum,madhouse,7
gemma3:1b,magician,wizard,9
gemma3:1b,midday,noon,7
gemma3:1b,furnace,stove,8
gemma3:1b,food,fruit,8
gemma3:1b,bird,cock,7
gemma3:1b,bird,crane,9
gemma3:1b,tool,implement,6
gemma3:1b,brother,monk,9
gemma3:1b,crane,implement,7
gemma3:1b,lad,brother,10
gemma3:1b,journey,car,9
gemma3:1b,monk,oracle,9
gemma3:1b,cemetery,woodland,3
gemma3:1b,food,rooster,4
gemma3:1b,coast,hill,7
gemma3:1b,forest,graveyard,9
gemma3:1b,shore,woodland,7
gemma3:1b,monk,slave,0
gemma3:1b,coast,forest,7
gemma3:1b,lad,wizard,9
gemma3:1b,chord,smile,7
gemma3:1b,glass,magician,9
gemma3:1b,noon,string,9
gemma3:1b,rooster,voyage,7
gemma3:1b,money,dollar,9
gemma3:1b,money,cash,9
gemma3:1b,money,currency,9
gemma3:1b,money,wealth,9
gemma3:1b,money,property,7
gemma3:1b,money,possession,9
gemma3:1b,money,bank,9
gemma3:1b,money,deposit,8
gemma3:1b,money,withdrawal,8
gemma3:1b,money,laundering,7
gemma3:1b,money,operation,9
gemma3:1b,tiger,jaguar,9
gemma3:1b,tiger,feline,9
gemma3:1b,tiger,carnivore,8
gemma3:1b,tiger,mammal,10
gemma3:1b,tiger,animal,9
gemma3:1b,tiger,organism,10
gemma3:1b,tiger,fauna,0
gemma3:1b,tiger,zoo,9
gemma3:1b,psychology,psychiatry,Invalid Response
gemma3:1b,psychology,anxiety,Invalid Response
gemma3:1b,psychology,fear,Invalid Response
gemma3:1b,psychology,depression,Invalid Response
gemma3:1b,psychology,clinic,8
gemma3:1b,psychology,doctor,7
gemma3:1b,psychology,Freud,
gemma3:1b,psychology,mind,9
gemma3:1b,psychology,health,Invalid Response
gemma3:1b,psychology,science,9
gemma3:1b,psychology,discipline,7
gemma3:1b,psychology,cognition,9
gemma3:1b,planet,star,8
gemma3:1b,planet,constellation,7
gemma3:1b,planet,moon,9
gemma3:1b,planet,sun,9
gemma3:1b,planet,galaxy,9
gemma3:1b,planet,space,9
gemma3:1b,planet,astronomer,9
gemma3:1b,precedent,example,7
gemma3:1b,precedent,information,7
gemma3:1b,precedent,cognition,7
gemma3:1b,precedent,law,9
gemma3:1b,precedent,collection,3
gemma3:1b,precedent,group,7
gemma3:1b,precedent,antecedent,9
gemma3:1b,cup,coffee,9
gemma3:1b,cup,tableware,9
gemma3:1b,cup,article,3
gemma3:1b,cup,artifact,3
gemma3:1b,cup,object,10
gemma3:1b,cup,entity,0
gemma3:1b,cup,drink,7
gemma3:1b,cup,food,9
gemma3:1b,cup,substance,3
gemma3:1b,cup,liquid,9
gemma3:1b,jaguar,cat,9
gemma3:1b,jaguar,car,10
gemma3:1b,energy,secretary,9
gemma3:1b,secretary,senate,8
gemma3:1b,energy,laboratory,7
gemma3:1b,computer,laboratory,7
gemma3:1b,weapon,secret,10
gemma3:1b,FBI,fingerprint,9
gemma3:1b,FBI,investigation,7
gemma3:1b,investigation,effort,7
gemma3:1b,Mars,water,7
gemma3:1b,Mars,scientist,9
gemma3:1b,news,report,7
gemma3:1b,canyon,landscape,Invalid Response
gemma3:1b,image,surface,7
gemma3:1b,discovery,space,space
gemma3:1b,water,seepage,0
gemma3:1b,sign,recess,7
gemma3:1b,Wednesday,news,9
gemma3:1b,mile,kilometer,9
gemma3:1b,computer,news,Invalid Response
gemma3:1b,territory,surface,7
gemma3:1b,atmosphere,landscape,Invalid Response
gemma3:1b,president,medal,10
gemma3:1b,war,troops,9
gemma3:1b,record,number,3
gemma3:1b,skin,eye,9
gemma3:1b,Japanese,American,5
gemma3:1b,theater,history,10
gemma3:1b,volunteer,motto,7
gemma3:1b,prejudice,recognition,7
gemma3:1b,decoration,valor,8
gemma3:1b,century,year,10
gemma3:1b,century,nation,9
gemma3:1b,delay,racism,10
gemma3:1b,delay,news,news
gemma3:1b,minister,party,9
gemma3:1b,peace,plan,7
gemma3:1b,minority,peace,9
gemma3:1b,attempt,peace,7
gemma3:1b,government,crisis,Invalid Response
gemma3:1b,deployment,departure,7
gemma3:1b,deployment,withdrawal,7
gemma3:1b,energy,crisis,9
gemma3:1b,announcement,news,8
gemma3:1b,announcement,effort,7
gemma3:1b,stroke,hospital,7
gemma3:1b,disability,death,7
gemma3:1b,victim,emergency,10
