model,w1,w2,rating
qwen3:0.6b,love,sex,0
qwen3:0.6b,tiger,cat,0
qwen3:0.6b,tiger,tiger,10
qwen3:0.6b,book,paper,10
qwen3:0.6b,computer,keyboard,5
qwen3:0.6b,computer,internet,7
qwen3:0.6b,plane,car,10
qwen3:0.6b,train,car,
qwen3:0.6b,telephone,communication,10
qwen3:0.6b,television,radio,7
qwen3:0.6b,media,radio,10
qwen3:0.6b,drug,abuse,0
qwen3:0.6b,bread,butter,8
qwen3:0.6b,cucumber,potato,0
qwen3:0.6b,doctor,nurse,7
qwen3:0.6b,professor,doctor,10
qwen3:0.6b,student,professor,6
qwen3:0.6b,smart,student,7
qwen3:0.6b,smart,stupid,0
qwen3:0.6b,company,stock,7
qwen3:0.6b,stock,market,7
qwen3:0.6b,stock,phone,0
qwen3:0.6b,stock,CD,10
qwen3:0.6b,stock,jaguar,0
qwen3:0.6b,stock,egg,0
qwen3:0.6b,fertility,egg,7
qwen3:0.6b,stock,live,0
qwen3:0.6b,stock,life,Invalid Response
qwen3:0.6b,book,library,0
qwen3:0.6b,bank,money,7
qwen3:0.6b,wood,forest,8
qwen3:0.6b,money,cash,10
qwen3:0.6b,professor,cucumber,0
qwen3:0.6b,king,cabbage,10
qwen3:0.6b,king,queen,10
qwen3:0.6b,king,rook,10
qwen3:0.6b,bishop,rabbi,10
qwen3:0.6b,Jerusalem,Israel,10
qwen3:0.6b,Jerusalem,Palestinian,0
qwen3:0.6b,holy,sex,10
qwen3:0.6b,fuck,sex,8
qwen3:0.6b,Maradona,football,10
qwen3:0.6b,football,soccer,10
qwen3:0.6b,football,basketball,10
qwen3:0.6b,football,tennis,10
qwen3:0.6b,tennis,racket,10
qwen3:0.6b,Arafat,peace,5
qwen3:0.6b,Arafat,terror,10
qwen3:0.6b,Arafat,Jackson,10
qwen3:0.6b,law,lawyer,0
qwen3:0.6b,movie,star,Invalid Response
qwen3:0.6b,movie,popcorn,0
qwen3:0.6b,movie,critic,0
qwen3:0.6b,movie,theater,0
