model,w1,w2,rating
gemma3:12b,love,sex,4
gemma3:12b,tiger,cat,7
gemma3:12b,tiger,tiger,10
gemma3:12b,book,paper,5
gemma3:12b,computer,keyboard,4
gemma3:12b,computer,internet,6
gemma3:12b,plane,car,1
gemma3:12b,train,car,4
gemma3:12b,telephone,communication,7
gemma3:12b,television,radio,6
gemma3:12b,media,radio,7
gemma3:12b,drug,abuse,4
gemma3:12b,bread,butter,3
gemma3:12b,cucumber,potato,2
gemma3:12b,doctor,nurse,7
gemma3:12b,professor,doctor,6
gemma3:12b,student,professor,3
gemma3:12b,smart,student,3
gemma3:12b,smart,stupid,0
gemma3:12b,company,stock,5
gemma3:12b,stock,market,6
gemma3:12b,stock,phone,0
gemma3:12b,stock,CD,1
gemma3:12b,stock,jaguar,0
gemma3:12b,stock,egg,3
gemma3:12b,fertility,egg,6
gemma3:12b,stock,live,2
gemma3:12b,stock,life,3
gemma3:12b,book,library,6
gemma3:12b,bank,money,7
gemma3:12b,wood,forest,8
gemma3:12b,money,cash,9
gemma3:12b,professor,cucumber,0
gemma3:12b,king,cabbage,0
gemma3:12b,king,queen,8
gemma3:12b,king,rook,2
gemma3:12b,bishop,rabbi,6
gemma3:12b,Jerusalem,Israel,7
gemma3:12b,Jerusalem,Palestinian,3
gemma3:12b,holy,sex,1
gemma3:12b,fuck,sex,7
gemma3:12b,Maradona,football,6
gemma3:12b,football,soccer,9
gemma3:12b,football,basketball,7
gemma3:12b,football,tennis,3
gemma3:12b,tennis,racket,7
gemma3:12b,Arafat,peace,3
gemma3:12b,Arafat,terror,3
gemma3:12b,Arafat,Jackson,2
gemma3:12b,law,lawyer,7
gemma3:12b,movie,star,3
gemma3:12b,movie,popcorn,3
gemma3:12b,movie,critic,3
gemma3:12b,movie,theater,6
gemma3:12b,physics,proton,6
gemma3:12b,physics,chemistry,7
gemma3:12b,space,chemistry,2
gemma3:12b,alcohol,chemistry,3
gemma3:12b,vodka,gin,7
gemma3:12b,vodka,brandy,3
gemma3:12b,drink,car,0
gemma3:12b,drink,ear,0
gemma3:12b,drink,mouth,3
gemma3:12b,drink,eat,3
gemma3:12b,baby,mother,7
gemma3:12b,drink,mother,0
gemma3:12b,car,automobile,10
gemma3:12b,gem,jewel,9
gemma3:12b,journey,voyage,9
gemma3:12b,boy,lad,9
gemma3:12b,coast,shore,9
gemma3:12b,asylum,madhouse,8
gemma3:12b,magician,wizard,9
gemma3:12b,midday,noon,9
gemma3:12b,furnace,stove,7
gemma3:12b,food,fruit,6
gemma3:12b,bird,cock,7
gemma3:12b,bird,crane,7
gemma3:12b,tool,implement,9
gemma3:12b,brother,monk,2
gemma3:12b,crane,implement,2
gemma3:12b,lad,brother,7
gemma3:12b,journey,car,1
gemma3:12b,monk,oracle,3
gemma3:12b,cemetery,woodland,2
gemma3:12b,food,rooster,0
gemma3:12b,coast,hill,2
gemma3:12b,forest,graveyard,2
gemma3:12b,shore,woodland,1
gemma3:12b,monk,slave,3
gemma3:12b,coast,forest,1
gemma3:12b,lad,wizard,1
gemma3:12b,chord,smile,1
gemma3:12b,glass,magician,1
gemma3:12b,noon,string,0
gemma3:12b,rooster,voyage,0
gemma3:12b,money,dollar,8
gemma3:12b,money,cash,9
gemma3:12b,money,currency,9
gemma3:12b,money,wealth,8
gemma3:12b,money,property,6
gemma3:12b,money,possession,6
gemma3:12b,money,bank,6
gemma3:12b,money,deposit,6
gemma3:12b,money,withdrawal,4
gemma3:12b,money,laundering,4
gemma3:12b,money,operation,1
gemma3:12b,tiger,jaguar,8
gemma3:12b,tiger,feline,7
gemma3:12b,tiger,carnivore,7
gemma3:12b,tiger,mammal,6
gemma3:12b,tiger,animal,6
gemma3:12b,tiger,organism,2
gemma3:12b,tiger,fauna,3
gemma3:12b,tiger,zoo,2
gemma3:12b,psychology,psychiatry,7
gemma3:12b,psychology,anxiety,7
gemma3:12b,psychology,fear,4
gemma3:12b,psychology,depression,7
gemma3:12b,psychology,clinic,2
gemma3:12b,psychology,doctor,2
gemma3:12b,psychology,Freud,7
gemma3:12b,psychology,mind,8
gemma3:12b,psychology,health,4
gemma3:12b,psychology,science,6
gemma3:12b,psychology,discipline,3
gemma3:12b,psychology,cognition,7
gemma3:12b,planet,star,3
gemma3:12b,planet,constellation,3
gemma3:12b,planet,moon,6
gemma3:12b,planet,sun,6
gemma3:12b,planet,galaxy,2
gemma3:12b,planet,space,6
gemma3:12b,planet,astronomer,3
gemma3:12b,precedent,example,7
gemma3:12b,precedent,information,2
gemma3:12b,precedent,cognition,1
gemma3:12b,precedent,law,7
gemma3:12b,precedent,collection,2
gemma3:12b,precedent,group,1
gemma3:12b,precedent,antecedent,8
gemma3:12b,cup,coffee,7
gemma3:12b,cup,tableware,4
gemma3:12b,cup,article,2
gemma3:12b,cup,artifact,1
gemma3:12b,cup,object,3
gemma3:12b,cup,entity,1
gemma3:12b,cup,drink,4
gemma3:12b,cup,food,1
gemma3:12b,cup,substance,1
gemma3:12b,cup,liquid,3
gemma3:12b,jaguar,cat,7
gemma3:12b,jaguar,car,3
gemma3:12b,energy,secretary,1
gemma3:12b,secretary,senate,1
gemma3:12b,energy,laboratory,2
gemma3:12b,computer,laboratory,1
gemma3:12b,weapon,secret,1
gemma3:12b,FBI,fingerprint,3
gemma3:12b,FBI,investigation,7
gemma3:12b,investigation,effort,3
gemma3:12b,Mars,water,0
gemma3:12b,Mars,scientist,1
gemma3:12b,news,report,8
gemma3:12b,canyon,landscape,4
gemma3:12b,image,surface,4
gemma3:12b,discovery,space,3
gemma3:12b,water,seepage,6
gemma3:12b,sign,recess,1
gemma3:12b,Wednesday,news,0
gemma3:12b,mile,kilometer,8
gemma3:12b,computer,news,1
gemma3:12b,territory,surface,2
gemma3:12b,atmosphere,landscape,3
gemma3:12b,president,medal,1
gemma3:12b,war,troops,6
gemma3:12b,record,number,6
gemma3:12b,skin,eye,2
gemma3:12b,Japanese,American,2
gemma3:12b,theater,history,1
gemma3:12b,volunteer,motto,1
gemma3:12b,prejudice,recognition,2
gemma3:12b,decoration,valor,0
gemma3:12b,century,year,7
gemma3:12b,century,nation,2
gemma3:12b,delay,racism,0
gemma3:12b,delay,news,1
gemma3:12b,minister,party,3
gemma3:12b,peace,plan,1
gemma3:12b,minority,peace,0
gemma3:12b,attempt,peace,0
gemma3:12b,government,crisis,2
gemma3:12b,deployment,departure,7
gemma3:12b,deployment,withdrawal,3
gemma3:12b,energy,crisis,3
gemma3:12b,announcement,news,8
gemma3:12b,announcement,effort,1
gemma3:12b,stroke,hospital,3
gemma3:12b,disability,death,2
gemma3:12b,victim,emergency,2
gemma3:12b,treatment,recovery,7
gemma3:12b,journal,association,2
gemma3:12b,doctor,personnel,1
gemma3:12b,doctor,liability,1
gemma3:12b,liability,insurance,7
gemma3:12b,school,center,3
gemma3:12b,reason,hypertension,0
gemma3:12b,reason,criterion,6
gemma3:12b,hundred,percent,2
gemma3:12b,Harvard,Yale,8
gemma3:12b,hospital,infrastructure,1
gemma3:12b,death,row,0
gemma3:12b,death,inmate,1
gemma3:12b,lawyer,evidence,2
gemma3:12b,life,death,0
gemma3:12b,life,term,4
gemma3:12b,word,similarity,5
gemma3:12b,board,recommendation,3
gemma3:12b,governor,interview,1
gemma3:12b,OPEC,country,3
gemma3:12b,peace,atmosphere,2
gemma3:12b,peace,insurance,1
gemma3:12b,territory,kilometer,0
gemma3:12b,travel,activity,3
gemma3:12b,competition,price,2
gemma3:12b,consumer,confidence,1
gemma3:12b,consumer,energy,2
gemma3:12b,problem,airport,0
gemma3:12b,car,flight,1
gemma3:12b,credit,card,6
gemma3:12b,credit,information,2
gemma3:12b,hotel,reservation,3
gemma3:12b,grocery,money,1
gemma3:12b,registration,arrangement,6
gemma3:12b,arrangement,accommodation,4
gemma3:12b,month,hotel,0
gemma3:12b,type,kind,8
gemma3:12b,arrival,hotel,2
gemma3:12b,bed,closet,1
gemma3:12b,closet,clothes,7
gemma3:12b,situation,conclusion,3
gemma3:12b,situation,isolation,3
gemma3:12b,impartiality,interest,2
gemma3:12b,direction,combination,2
gemma3:12b,street,place,4
gemma3:12b,street,avenue,8
gemma3:12b,street,block,5
gemma3:12b,street,children,1
gemma3:12b,listing,proximity,2
gemma3:12b,listing,category,6
gemma3:12b,cell,phone,7
gemma3:12b,production,hike,1
gemma3:12b,benchmark,index,6
gemma3:12b,media,trading,2
gemma3:12b,media,gain,1
gemma3:12b,dividend,payment,7
gemma3:12b,dividend,calculation,2
gemma3:12b,calculation,computation,9
gemma3:12b,currency,market,3
gemma3:12b,OPEC,oil,7
gemma3:12b,oil,stock,2
gemma3:12b,announcement,production,2
gemma3:12b,announcement,warning,7
gemma3:12b,profit,warning,1
gemma3:12b,profit,loss,2
