model,w1,w2,rating
qwen3:1.7b,love,sex,4
qwen3:1.7b,tiger,cat,9
qwen3:1.7b,tiger,tiger,10
qwen3:1.7b,book,paper,6
qwen3:1.7b,computer,keyboard,7
qwen3:1.7b,computer,internet,7
qwen3:1.7b,plane,car,3
qwen3:1.7b,train,car,8
qwen3:1.7b,telephone,communication,8
qwen3:1.7b,television,radio,7
qwen3:1.7b,media,radio,8
qwen3:1.7b,drug,abuse,2
qwen3:1.7b,bread,butter,7
qwen3:1.7b,cucumber,potato,3
qwen3:1.7b,doctor,nurse,8
qwen3:1.7b,professor,doctor,8
qwen3:1.7b,student,professor,8
qwen3:1.7b,smart,student,3
qwen3:1.7b,smart,stupid,10
qwen3:1.7b,company,stock,3
qwen3:1.7b,stock,market,7
qwen3:1.7b,stock,phone,0
qwen3:1.7b,stock,CD,0
qwen3:1.7b,stock,jaguar,0
qwen3:1.7b,stock,egg,0
qwen3:1.7b,fertility,egg,6
qwen3:1.7b,stock,live,0
qwen3:1.7b,stock,life,0
qwen3:1.7b,book,library,6
qwen3:1.7b,bank,money,6
qwen3:1.7b,wood,forest,7
qwen3:1.7b,money,cash,9
qwen3:1.7b,professor,cucumber,0
qwen3:1.7b,king,cabbage,0
qwen3:1.7b,king,queen,9
qwen3:1.7b,king,rook,0
qwen3:1.7b,bishop,rabbi,9
qwen3:1.7b,Jerusalem,Israel,9
qwen3:1.7b,Jerusalem,Palestinian,3
qwen3:1.7b,holy,sex,0
qwen3:1.7b,fuck,sex,8
qwen3:1.7b,Maradona,football,8
qwen3:1.7b,football,soccer,9
qwen3:1.7b,football,basketball,8
qwen3:1.7b,football,tennis,5
qwen3:1.7b,tennis,racket,6
qwen3:1.7b,Arafat,peace,7
qwen3:1.7b,Arafat,terror,1
qwen3:1.7b,Arafat,Jackson,6
qwen3:1.7b,law,lawyer,7
qwen3:1.7b,movie,star,5
qwen3:1.7b,movie,popcorn,2
qwen3:1.7b,movie,critic,3
qwen3:1.7b,movie,theater,7
qwen3:1.7b,physics,proton,2
qwen3:1.7b,physics,chemistry,7
qwen3:1.7b,space,chemistry,0
qwen3:1.7b,alcohol,chemistry,2
qwen3:1.7b,vodka,gin,8
qwen3:1.7b,vodka,brandy,8
qwen3:1.7b,drink,car,2
qwen3:1.7b,drink,ear,0
qwen3:1.7b,drink,mouth,2
qwen3:1.7b,drink,eat,9
qwen3:1.7b,baby,mother,7
qwen3:1.7b,drink,mother,0
qwen3:1.7b,car,automobile,9
qwen3:1.7b,gem,jewel,10
qwen3:1.7b,journey,voyage,9
qwen3:1.7b,boy,lad,9
qwen3:1.7b,coast,shore,10
qwen3:1.7b,asylum,madhouse,10
qwen3:1.7b,magician,wizard,9
qwen3:1.7b,midday,noon,10
qwen3:1.7b,furnace,stove,8
qwen3:1.7b,food,fruit,7
qwen3:1.7b,bird,cock,8
qwen3:1.7b,bird,crane,8
qwen3:1.7b,tool,implement,8
qwen3:1.7b,brother,monk,0
qwen3:1.7b,crane,implement,3
qwen3:1.7b,lad,brother,7
qwen3:1.7b,journey,car,0
qwen3:1.7b,monk,oracle,5
qwen3:1.7b,cemetery,woodland,2
qwen3:1.7b,food,rooster,0
qwen3:1.7b,coast,hill,2
qwen3:1.7b,forest,graveyard,2
qwen3:1.7b,shore,woodland,2
qwen3:1.7b,monk,slave,3
qwen3:1.7b,coast,forest,0
qwen3:1.7b,lad,wizard,6
qwen3:1.7b,chord,smile,0
qwen3:1.7b,glass,magician,1
qwen3:1.7b,noon,string,0
qwen3:1.7b,rooster,voyage,2
qwen3:1.7b,money,dollar,7
qwen3:1.7b,money,cash,9
qwen3:1.7b,money,currency,8
qwen3:1.7b,money,wealth,7
qwen3:1.7b,money,property,7
qwen3:1.7b,money,possession,3
qwen3:1.7b,money,bank,7
qwen3:1.7b,money,deposit,4
qwen3:1.7b,money,withdrawal,6
qwen3:1.7b,money,laundering,6
qwen3:1.7b,money,operation,1
qwen3:1.7b,tiger,jaguar,7
qwen3:1.7b,tiger,feline,8
qwen3:1.7b,tiger,carnivore,6
qwen3:1.7b,tiger,mammal,6
qwen3:1.7b,tiger,animal,5
qwen3:1.7b,tiger,organism,6
qwen3:1.7b,tiger,fauna,6
qwen3:1.7b,tiger,zoo,1
qwen3:1.7b,psychology,psychiatry,8
qwen3:1.7b,psychology,anxiety,7
qwen3:1.7b,psychology,fear,6
qwen3:1.7b,psychology,depression,8
qwen3:1.7b,psychology,clinic,1
qwen3:1.7b,psychology,doctor,2
qwen3:1.7b,psychology,Freud,8
qwen3:1.7b,psychology,mind,6
qwen3:1.7b,psychology,health,2
qwen3:1.7b,psychology,science,8
qwen3:1.7b,psychology,discipline,4
qwen3:1.7b,psychology,cognition,8
qwen3:1.7b,planet,star,7
qwen3:1.7b,planet,constellation,1
qwen3:1.7b,planet,moon,8
qwen3:1.7b,planet,sun,5
qwen3:1.7b,planet,galaxy,2
qwen3:1.7b,planet,space,3
qwen3:1.7b,planet,astronomer,3
qwen3:1.7b,precedent,example,7
qwen3:1.7b,precedent,information,0
qwen3:1.7b,precedent,cognition,5
qwen3:1.7b,precedent,law,7
qwen3:1.7b,precedent,collection,0
qwen3:1.7b,precedent,group,1
qwen3:1.7b,precedent,antecedent,7
qwen3:1.7b,cup,coffee,3
qwen3:1.7b,cup,tableware,8
qwen3:1.7b,cup,article,0
qwen3:1.7b,cup,artifact,1
qwen3:1.7b,cup,object,7
qwen3:1.7b,cup,entity,1
qwen3:1.7b,cup,drink,1
qwen3:1.7b,cup,food,0
qwen3:1.7b,cup,substance,4
qwen3:1.7b,cup,liquid,3
qwen3:1.7b,jaguar,cat,8
qwen3:1.7b,jaguar,car,0
qwen3:1.7b,energy,secretary,0
qwen3:1.7b,secretary,senate,6
qwen3:1.7b,energy,laboratory,0
qwen3:1.7b,computer,laboratory,3
qwen3:1.7b,weapon,secret,0
qwen3:1.7b,FBI,fingerprint,0
qwen3:1.7b,FBI,investigation,5
qwen3:1.7b,investigation,effort,7
qwen3:1.7b,Mars,water,0
qwen3:1.7b,Mars,scientist,0
qwen3:1.7b,news,report,6
qwen3:1.7b,canyon,landscape,6
qwen3:1.7b,image,surface,2
qwen3:1.7b,discovery,space,0
qwen3:1.7b,water,seepage,4
qwen3:1.7b,sign,recess,1
qwen3:1.7b,Wednesday,news,2
qwen3:1.7b,mile,kilometer,8
qwen3:1.7b,computer,news,2
qwen3:1.7b,territory,surface,1
qwen3:1.7b,atmosphere,landscape,3
qwen3:1.7b,president,medal,0
qwen3:1.7b,war,troops,7
qwen3:1.7b,record,number,7
qwen3:1.7b,skin,eye,7
qwen3:1.7b,Japanese,American,8
qwen3:1.7b,theater,history,0
qwen3:1.7b,volunteer,motto,0
qwen3:1.7b,prejudice,recognition,0
qwen3:1.7b,decoration,valor,0
qwen3:1.7b,century,year,7
qwen3:1.7b,century,nation,4
qwen3:1.7b,delay,racism,0
qwen3:1.7b,delay,news,1
qwen3:1.7b,minister,party,2
qwen3:1.7b,peace,plan,0
qwen3:1.7b,minority,peace,0
qwen3:1.7b,attempt,peace,0
qwen3:1.7b,government,crisis,0
qwen3:1.7b,deployment,departure,8
qwen3:1.7b,deployment,withdrawal,6
qwen3:1.7b,energy,crisis,2
qwen3:1.7b,announcement,news,8
qwen3:1.7b,announcement,effort,0
qwen3:1.7b,stroke,hospital,0
qwen3:1.7b,disability,death,2
qwen3:1.7b,victim,emergency,1
qwen3:1.7b,treatment,recovery,7
qwen3:1.7b,journal,association,1
qwen3:1.7b,doctor,personnel,5
qwen3:1.7b,doctor,liability,0
qwen3:1.7b,liability,insurance,4
qwen3:1.7b,school,center,7
qwen3:1.7b,reason,hypertension,0
qwen3:1.7b,reason,criterion,7
qwen3:1.7b,hundred,percent,7
qwen3:1.7b,Harvard,Yale,10
qwen3:1.7b,hospital,infrastructure,0
qwen3:1.7b,death,row,0
qwen3:1.7b,death,inmate,0
qwen3:1.7b,lawyer,evidence,2
qwen3:1.7b,life,death,6
qwen3:1.7b,life,term,2
qwen3:1.7b,word,similarity,0
qwen3:1.7b,board,recommendation,0
qwen3:1.7b,governor,interview,0
qwen3:1.7b,OPEC,country,1
qwen3:1.7b,peace,atmosphere,1
qwen3:1.7b,peace,insurance,0
qwen3:1.7b,territory,kilometer,0
qwen3:1.7b,travel,activity,8
qwen3:1.7b,competition,price,2
qwen3:1.7b,consumer,confidence,2
qwen3:1.7b,consumer,energy,0
qwen3:1.7b,problem,airport,0
qwen3:1.7b,car,flight,4
qwen3:1.7b,credit,card,7
qwen3:1.7b,credit,information,2
qwen3:1.7b,hotel,reservation,6
qwen3:1.7b,grocery,money,2
qwen3:1.7b,registration,arrangement,8
qwen3:1.7b,arrangement,accommodation,5
qwen3:1.7b,month,hotel,0
qwen3:1.7b,type,kind,10
qwen3:1.7b,arrival,hotel,2
qwen3:1.7b,bed,closet,2
qwen3:1.7b,closet,clothes,7
qwen3:1.7b,situation,conclusion,5
qwen3:1.7b,situation,isolation,3
qwen3:1.7b,impartiality,interest,0
qwen3:1.7b,direction,combination,0
qwen3:1.7b,street,place,7
qwen3:1.7b,street,avenue,8
qwen3:1.7b,street,block,8
qwen3:1.7b,street,children,0
qwen3:1.7b,listing,proximity,0
qwen3:1.7b,listing,category,6
qwen3:1.7b,cell,phone,0
qwen3:1.7b,production,hike,0
qwen3:1.7b,benchmark,index,7
qwen3:1.7b,media,trading,2
qwen3:1.7b,media,gain,0
qwen3:1.7b,dividend,payment,8
qwen3:1.7b,dividend,calculation,2
qwen3:1.7b,calculation,computation,8
qwen3:1.7b,currency,market,3
qwen3:1.7b,OPEC,oil,7
qwen3:1.7b,oil,stock,2
qwen3:1.7b,announcement,production,1
qwen3:1.7b,announcement,warning,7
qwen3:1.7b,profit,warning,0
qwen3:1.7b,profit,loss,1
qwen3:1.7b,dollar,yen,9
qwen3:1.7b,dollar,buck,9
qwen3:1.7b,dollar,profit,5
qwen3:1.7b,dollar,loss,2
qwen3:1.7b,computer,software,6
qwen3:1.7b,network,hardware,6
