model,cue,A1,A2,A3
qwen3:30b,becoming,change,growth,development
qwen3:30b,archeology,dig,artifact,excavate
qwen3:30b,joker,card,joke,clown
qwen3:30b,hurtful,words,comments,remarks
qwen3:30b,nacho,cheese,chips,salsa
qwen3:30b,unsafe,dangerous,risky,hazardous
qwen3:30b,hummingbird,fast,flower,nectar
qwen3:30b,coast,shore,ocean,sand
qwen3:30b,immature,childish,adolescent,juvenile
qwen3:30b,ligament,tendon,joint,sprain
qwen3:30b,shield,armor,protect,defense
qwen3:30b,vegetarian,meat,vegan,plant
qwen3:30b,parcel,package,delivery,post
qwen3:30b,madly,love,crazy,wild
qwen3:30b,flunk,fail,bomb,miss
qwen3:30b,traveler,tourist,journey,adventure
qwen3:30b,bubble gum,chew,pink,flavor
qwen3:30b,expel,remove,eject,oust
qwen3:30b,leaning,tree,wall,slant
qwen3:30b,juicer,machine,fruit,juice
qwen3:30b,hovercraft,glide,boat,vehicle
qwen3:30b,fabric,cloth,cotton,thread
qwen3:30b,captivity,prison,jail,confinement
qwen3:30b,lamb,meat,sheep,young
qwen3:30b,failure,lose,mistake,defeat
qwen3:30b,balls,sports,game,play
qwen3:30b,governance,policy,leadership,management
qwen3:30b,electricity,power,current,wire
qwen3:30b,celebrity,famous,media,star
qwen3:30b,masturbate,self,No more responses,No more responses
qwen3:30b,extroverted,outgoing,sociable,energetic
qwen3:30b,breed,dog,animal,pure
qwen3:30b,frustrated,angry,stuck,upset
qwen3:30b,goodwill,kindness,charity,generosity
qwen3:30b,dialogue,conversation,talk,chat
qwen3:30b,unrealistic,impossible,expectations,dreams
qwen3:30b,hobble,limp,stumble,walk
qwen3:30b,unripe,green,sour,hard
qwen3:30b,boxer,dog,fighter,punch
qwen3:30b,laborer,worker,construction,field
qwen3:30b,atheism,godless,secular,rational
qwen3:30b,autumn,leaves,cool,harvest
qwen3:30b,repress,suppress,stifle,memory
qwen3:30b,sweatshop,exploitation,factory,labor
qwen3:30b,veer,turn,swerve,direction
qwen3:30b,mystical,magic,spiritual,enigmatic
qwen3:30b,redwood,tree,giant,forest
qwen3:30b,gods,myth,greek,roman
qwen3:30b,elbow,joint,bend,arm
qwen3:30b,sterile,clean,surgical,antiseptic
qwen3:30b,mailbox,post,letter,box
qwen3:30b,rundown,summary,list,overview
qwen3:30b,execute,kill,carry,order
qwen3:30b,hitchhike,thumb,highway,car
qwen3:30b,intoxicate,drunk,alcohol,high
qwen3:30b,complete,whole,finished,total
qwen3:30b,vomit,sick,nausea,throw
qwen3:30b,civilization,society,culture,progress
qwen3:30b,let,go,it,me
qwen3:30b,gifted,talented,intelligent,brilliant
qwen3:30b,whiskers,cat,rat,mouse
qwen3:30b,lore,stories,myths,legends
qwen3:30b,Norway,viking,fjord,snow
qwen3:30b,petrol,gas,fuel,car
qwen3:30b,Islam,Muslim,faith,prayer
qwen3:30b,mitten,glove,snow,wool
qwen3:30b,cozy,comfort,couch,blanket
qwen3:30b,hum,sound,noise,music
qwen3:30b,head,brain,pain,hair
qwen3:30b,mints,fresh,gum,candy
qwen3:30b,increasing,growth,trend,rate
qwen3:30b,chauffeur,driver,limousine,service
qwen3:30b,constant,steady,consistent,unchanging
qwen3:30b,zeal,passion,energy,dedication
qwen3:30b,periscope,submarine,view,water
qwen3:30b,oddity,strange,weird,peculiar
qwen3:30b,monotonous,boring,repetitive,dull
qwen3:30b,stupid,idiot,dumb,foolish
qwen3:30b,hers,own,her,herself
qwen3:30b,scribe,writer,pen,document
qwen3:30b,campfire,smoke,wood,night
qwen3:30b,cartoon,animation,character,funny
qwen3:30b,contempt,disdain,sneer,scorn
qwen3:30b,cactus,desert,spine,prickly
qwen3:30b,fad,trend,craze,rage
qwen3:30b,since,time,after,because
qwen3:30b,tom,cat,name,boy
qwen3:30b,devil,Satan,evil,hell
qwen3:30b,tuba,brass,marching,bass
qwen3:30b,algae,seaweed,ocean,water
qwen3:30b,crows,black,birds,raven
qwen3:30b,cooler,refrigerator,ice,drink
qwen3:30b,martial art,karate,judo,taekwondo
qwen3:30b,medic,doctor,hospital,emergency
qwen3:30b,pesky,annoying,nagging,troublesome
qwen3:30b,stretch,extend,flex,yoga
qwen3:30b,thrifty,frugal,sparing,economical
qwen3:30b,amass,gather,accumulate,collect
qwen3:30b,flawed,imperfect,broken,defective
qwen3:30b,term,word,definition,phrase
