model,cue,A1,A2,A3
gemma3:270m,becoming,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,archeology,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,joker,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,hurtful,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,nacho,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,unsafe,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,hummingbird,A1,A2,A3
gemma3:270m,coast,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,immature,A1,A2,A3
gemma3:270m,ligament,A1,A2,A3
gemma3:270m,shield,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,vegetarian,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,parcel,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,madly,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,flunk,A1,A2,A3
gemma3:270m,traveler,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,bubble gum,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,expel,A1,A2,A3
gemma3:270m,leaning,A1,A2,A3
gemma3:270m,juicer,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,hovercraft,A1,A2,A3
gemma3:270m,fabric,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,captivity,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,lamb,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,failure,A1,A2,A3
gemma3:270m,balls,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,governance,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,electricity,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,celebrity,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,masturbate,A1,A2,A3
gemma3:270m,extroverted,A1,A2,A3
gemma3:270m,breed,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,frustrated,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,goodwill,A1,A2,A3
gemma3:270m,dialogue,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,unrealistic,A1,A2,A3
gemma3:270m,hobble,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,unripe,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,boxer,A1,A2,A3
gemma3:270m,laborer,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,atheism,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,autumn,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,repress,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,sweatshop,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,veer,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,mystical,A1,A2,A3
gemma3:270m,redwood,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,gods,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,elbow,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,sterile,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,mailbox,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,rundown,A1,A2,A3
gemma3:270m,execute,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,hitchhike,A1,A2,A3
gemma3:270m,intoxicate,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,complete,A1,A2,A3
gemma3:270m,vomit,A1,A2,A3
gemma3:270m,civilization,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,let,A1,A2,A3
gemma3:270m,gifted,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,whiskers,A1,A2,A3
gemma3:270m,lore,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,Norway,A1,A2,A3
gemma3:270m,petrol,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,Islam,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,mitten,A1,A2,A3
gemma3:270m,cozy,A1,A2,A3
gemma3:270m,hum,A1,A2,A3
gemma3:270m,head,A1,A2,A3
gemma3:270m,mints,A1,A2,A3
gemma3:270m,increasing,A1,A2,A3
gemma3:270m,chauffeur,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,constant,A1,A2,A3
gemma3:270m,zeal,A1,A2,A3
gemma3:270m,periscope,A1,A2,A3
gemma3:270m,oddity,A1,A2,A3
gemma3:270m,monotonous,A1,A2,A3
gemma3:270m,stupid,A1,A2,A3
gemma3:270m,hers,A1,A2,A3
gemma3:270m,scribe,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,campfire,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,cartoon,A1,A2,A3
gemma3:270m,contempt,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,cactus,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,fad,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,since,A1,A2,A3
gemma3:270m,tom,A1,A2,A3
gemma3:270m,devil,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,tuba,A1,A2,A3
gemma3:270m,algae,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,crows,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,cooler,A1,A2,A3
gemma3:270m,martial art,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,medic,A1,A2,A3
gemma3:270m,pesky,A1,A2,A3
gemma3:270m,stretch,A1,A2,A3
gemma3:270m,thrifty,A1,A2,A3
gemma3:270m,amass,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,flawed,Invalid Response,Invalid Response,Invalid Response
gemma3:270m,term,A1,A2,A3
