model,cue,A1,A2,A3
qwen3:1.7b,becoming,transformation,change,evolution
qwen3:1.7b,archeology,history,tools,past
qwen3:1.7b,joker,chaos,wild,illusion
qwen3:1.7b,hurtful,malicious,painful,offensive
qwen3:1.7b,nacho,tortilla,fatty,salsa
qwen3:1.7b,unsafe,dangerous,hazard,risk
qwen3:1.7b,hummingbird,sapphire,dance,mystery
qwen3:1.7b,coast,sea,sand,ship
qwen3:1.7b,immature,child,juvenile,insect
qwen3:1.7b,ligament,support,tissue,attachment
qwen3:1.7b,shield,Protect,Armor,Wall
qwen3:1.7b,vegetarian,Invalid Response,Invalid Response,Invalid Response
qwen3:1.7b,parcel,package,item,box
qwen3:1.7b,madly,reckless,chaos,wild
qwen3:1.7b,flunk,fail,exam,grade
qwen3:1.7b,traveler,journey,destination,adventure
qwen3:1.7b,bubble gum,snack,flavor,fun
qwen3:1.7b,expel,remove,drive,exclude
qwen3:1.7b,leaning,slope,ladder,balance
qwen3:1.7b,juicer,juice,squeezing,orange
qwen3:1.7b,hovercraft,lift,soil,tread
qwen3:1.7b,fabric,clothing,texture,comfort
qwen3:1.7b,captivity,imprisonment,confinement,isolation
qwen3:1.7b,lamb,meat,sheep,creature
qwen3:1.7b,failure,Collapse,Recovery,Erosion
qwen3:1.7b,balls,baseball,tennis,glitter
qwen3:1.7b,governance,leadership,rules,structure
qwen3:1.7b,electricity,Power,Current,Light
qwen3:1.7b,celebrity,fame,glamour,influence
qwen3:1.7b,masturbate,pleasure,intimacy,repetition
qwen3:1.7b,extroverted,social,outgoing,energetic
qwen3:1.7b,breed,species,variety,race
qwen3:1.7b,frustrated,stuck,despair,give up
qwen3:1.7b,goodwill,help,charity,sympathy
qwen3:1.7b,dialogue,conversation,speech,storytelling
qwen3:1.7b,unrealistic,fantasy,illusion,myth
qwen3:1.7b,hobble,pain,slow,limb
qwen3:1.7b,unripe,mature,seed,No more responses
qwen3:1.7b,boxer,ring,fight,knockout
qwen3:1.7b,laborer,physical labor,construction worker,building
qwen3:1.7b,atheism,agnostic,skepticism,rational
qwen3:1.7b,autumn,season,leaves,harvest
qwen3:1.7b,repress,emotions,control,silence
qwen3:1.7b,sweatshop,dirt,exploitation,cheap
qwen3:1.7b,veer,steer,navigate,path
qwen3:1.7b,mystical,mystery,enigma,whisper
qwen3:1.7b,redwood,tree,forest,coastal
qwen3:1.7b,gods,myths,worship,temples
qwen3:1.7b,elbow,joint,pain,muscle
qwen3:1.7b,sterile,empty,silent,frozen
qwen3:1.7b,mailbox,letters,postman,delivery
qwen3:1.7b,rundown,list,messy,compile
qwen3:1.7b,execute,imperative,instant,command
qwen3:1.7b,hitchhike,journey,ride,adventure
qwen3:1.7b,intoxicate,drunk,nightmare,melodrama
qwen3:1.7b,complete,task,edition,resolution
qwen3:1.7b,vomit,nausea,belch,sickness
qwen3:1.7b,civilization,culture,progress,history
qwen3:1.7b,let,permit,release,unchain
qwen3:1.7b,gifted,talented,skilled,creative
qwen3:1.7b,whiskers,cat,senses,taste
qwen3:1.7b,lore,book,story,legend
qwen3:1.7b,Norway,fjords,snow,northern
qwen3:1.7b,petrol,fuel,engine,station
qwen3:1.7b,Islam,sacred,peace,caliphate
qwen3:1.7b,mitten,winter,hand,warm
qwen3:1.7b,cozy,blanket,warmth,safety
qwen3:1.7b,hum,mosquito,song,sound
qwen3:1.7b,head,brain,vision,thinking
qwen3:1.7b,mints,Sweet,Savor,Vital
qwen3:1.7b,increasing,rising,growing,ascending
qwen3:1.7b,chauffeur,car,service,speed
qwen3:1.7b,constant,steady,unchanging,persistent
qwen3:1.7b,zeal,passion,enthusiasm,fire
qwen3:1.7b,periscope,view,tube,submarine
qwen3:1.7b,oddity,strange,unusual,anomaly
qwen3:1.7b,monotonous,repetitive,boring,predictable
qwen3:1.7b,stupid,dumb,fool,muddle
qwen3:1.7b,hers,dress,bag,home
qwen3:1.7b,scribe,pen,script,ink
qwen3:1.7b,campfire,embers,camping,night
qwen3:1.7b,cartoon,anime,humor,story
qwen3:1.7b,contempt,sneer,disdain,oppression
qwen3:1.7b,cactus,desert,spiky,arid
qwen3:1.7b,fad,fashion,ephemeral,vogue
qwen3:1.7b,since,eternity,forever,duration
qwen3:1.7b,tom,tomato,name,friend
qwen3:1.7b,devil,sin,evil,temptation
qwen3:1.7b,tuba,brass,orchestra,deep
qwen3:1.7b,algae,marine,green,ecosystem
qwen3:1.7b,crows,flying,shadow,mythology
qwen3:1.7b,cooler,cold,ice,chill
qwen3:1.7b,martial art,technique,style,discipline
qwen3:1.7b,medic,first aid,treatment,emergency
qwen3:1.7b,pesky,pest,bitch,annoying
qwen3:1.7b,stretch,Muscle,Flexibility,Elongation
qwen3:1.7b,thrifty,savvy,budget,save
qwen3:1.7b,amass,treasure,stones,sand
qwen3:1.7b,flawed,defect,error,fault
qwen3:1.7b,term,definition,etymology,usage
